HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,STATE_ID,LATITUDE,LONGITUDE,FIPS2010,N_UNITS,LI_UNITS,N_0BR,N_1BR,N_2BR,N_3BR,N_4BR,YR_PIS,YR_ALLOC,TYPE,NONPROG,
"ILA00000013","MILWAUKEE AVENUE APTS","3064 N MILWAUKEE AVE","CHICAGO",IL,"60618","1106313",41.936740875244,-87.72031402587,210501,32,32,0,25,7,0,0,8888,2013,,,
"ILA00000053","ENGLEWOOD APTS","901 W 63RD ST","CHICAGO",IL,"60621","285609",41.779579162597,-87.64720153808,681000,99,99,99,0,0,0,0,8888,8888,1,1,
"ILA00000057","HOLLYWOOD HOUSE","5700 N SHERIDAN RD","CHICAGO",IL,"60660","290808",41.985824584960,-87.65547180175,030604,197,177,88,89,0,0,0,8888,8888,2,1,
"ILA00000059","SENIOR SUITES OF NORWOOD PARK","5700 N HARLEM AVE","CHICAGO",IL,"60631","1067612",41.985134124755,-87.80714416503,100300,84,80,10,63,11,0,0,8888,2012,,,
"ILA00000064","LORINGTON APTS PRESERVATION","3126 W PALMER BLVD","CHICAGO",IL,"60647","243806",41.921638488769,-87.70668029785,221200,54,54,0,3,26,23,2,8888,8888,2,1,
"ILA00000079","VETERANS NEW BEGINNINGS","8132 S RACINE AVE","CHICAGO",IL,"60620","1078612",41.745895385742,-87.65384674072,710700,54,54,54,0,0,0,0,8888,2012,,,
"ILA00000087","SANKOFA HOUSE","3824 W 16TH ST","CHICAGO",IL,"60623","232907",41.859081268310,-87.72087860107,838700,58,58,0,35,11,8,4,8888,8888,1,1,
"ILA00000113","LAWNDALE PLAZA","3158 W ROOSEVELT RD","CHICAGO",IL,"60612","10006",41.866603851318,-87.70489501953,838600,198,198,0,120,12,66,0,9999,2010,,1,
"ILA00000114","PARKVIEW TOWERS APTS","5110 S KING DR","CHICAGO",IL,"60615","1041210",41.801700592041,-87.61639404296,836100,102,102,0,34,34,34,0,9999,2008,,1,
"ILA00000118","BETTENDORF PLACE (CITY OF CHICAGO)","8425 S SAGINAW AVE","CHICAGO",IL,"60617","10005",41.741954803466,-87.55979156494,460301,23,23,23,0,0,0,0,9999,2010,,,
"ILA00000119","BRANCH OF HOPE","5600 S HALSTED ST","CHICAGO",IL,"60621","1016510",41.792411804199,-87.64530944824,834700,100,100,0,100,0,0,0,9999,2010,,,
"ILA19870006","AUSTIN RENAISSANCE","5113 W WASHINGTON BLVD","CHICAGO",IL,"60644","014-87",41.881557464599,-87.75312042236,251800,71,71,3,19,49,0,0,1987,1987,,1,
