Geography,Geographic Area Name,Total,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
1400000US26001000100,"Census Tract 1, Alcona County, Michigan",483,27.1,20.7,21.9,17.6,12.6
1400000US26001970100,"Census Tract 9701, Alcona County, Michigan",753,26.6,27,24.3,7.7,14.5
1400000US26001970400,"Census Tract 9704, Alcona County, Michigan",988,16.8,21.8,19.7,18.7,23
1400000US26001970500,"Census Tract 9705, Alcona County, Michigan",557,22.8,26.9,19.2,12.6,18.5
1400000US26001970600,"Census Tract 9706, Alcona County, Michigan",513,30.2,14.6,25.5,12.9,16.8
1400000US26001990000,"Census Tract 9900, Alcona County, Michigan",0,-,-,-,-,-
1400000US26003000100,"Census Tract 1, Alger County, Michigan",1379,27,23,22.3,9.8,17.8
1400000US26003000200,"Census Tract 2, Alger County, Michigan",1034,36.1,23.4,16.9,13,10.6
1400000US26003000300,"Census Tract 3, Alger County, Michigan",762,24.5,16.8,18.9,18,21.8
1400000US26003990000,"Census Tract 9900, Alger County, Michigan",0,-,-,-,-,-
1400000US26005030200,"Census Tract 302, Allegan County, Michigan",1694,47,18.9,20.7,3.7,9.6
1400000US26005030300,"Census Tract 303, Allegan County, Michigan",3635,23,15.2,26.4,13.1,22.3
1400000US26005030401,"Census Tract 304.01, Allegan County, Michigan",4100,29.7,17,17.9,15.4,20
1400000US26005030402,"Census Tract 304.02, Allegan County, Michigan",2264,34,14.9,26.3,9.7,15.2
1400000US26005030500,"Census Tract 305, Allegan County, Michigan",3226,22.5,15.3,24.7,10.4,27.2
1400000US26005030600,"Census Tract 306, Allegan County, Michigan",2186,25.5,14.8,18,16.1,25.6
1400000US26005030702,"Census Tract 307.02, Allegan County, Michigan",2470,26.7,12.6,21.1,13.1,26.5
1400000US26005030703,"Census Tract 307.03, Allegan County, Michigan",946,16.2,16.5,15,17.5,34.8
1400000US26005030704,"Census Tract 307.04, Allegan County, Michigan",2066,24.5,15.9,19.6,10.8,29.1
1400000US26005030800,"Census Tract 308, Allegan County, Michigan",2085,40.5,14.4,23.8,7.8,13.4
1400000US26005030901,"Census Tract 309.01, Allegan County, Michigan",1035,30.6,16.9,18.3,20.5,13.7
1400000US26005030902,"Census Tract 309.02, Allegan County, Michigan",1106,34.1,14.9,18.1,10.4,22.5
1400000US26005031000,"Census Tract 310, Allegan County, Michigan",2132,18.2,22.3,17.5,14.6,27.4
1400000US26005031100,"Census Tract 311, Allegan County, Michigan",2701,29.6,13.1,20.3,13.5,23.5
1400000US26005031200,"Census Tract 312, Allegan County, Michigan",2130,28.4,14.1,25.5,6.4,25.5
1400000US26005031300,"Census Tract 313, Allegan County, Michigan",2333,24.7,19.7,16.3,13.8,25.5
1400000US26005031800,"Census Tract 318, Allegan County, Michigan",1945,28.5,15.5,25.1,9.2,21.7
1400000US26005031900,"Census Tract 319, Allegan County, Michigan",2196,24.2,19,27.8,8.9,20.1
1400000US26005032000,"Census Tract 320, Allegan County, Michigan",2535,33.1,15.8,21.4,7.3,22.4
1400000US26005032100,"Census Tract 321, Allegan County, Michigan",2238,31.6,16,23,12.1,17.4
1400000US26005032200,"Census Tract 322, Allegan County, Michigan",2159,25.4,15.4,25.1,11.1,23
1400000US26005032401,"Census Tract 324.01, Allegan County, Michigan",666,19.7,14.3,18,17,31.1
1400000US26005032402,"Census Tract 324.02, Allegan County, Michigan",1901,31.6,11.4,23.6,8.3,25
1400000US26005032600,"Census Tract 326, Allegan County, Michigan",657,43.2,20.1,24,6.7,5.9
1400000US26005990000,"Census Tract 9900, Allegan County, Michigan",0,-,-,-,-,-
1400000US26007000100,"Census Tract 1, Alpena County, Michigan",1789,30.8,17,19.7,12.6,19.9
1400000US26007000200,"Census Tract 2, Alpena County, Michigan",1936,28.4,17.6,25.6,12.3,16.2
1400000US26007000300,"Census Tract 3, Alpena County, Michigan",1353,38.1,19.1,17.6,15.5,9.7
1400000US26007000400,"Census Tract 4, Alpena County, Michigan",1229,11.9,27.2,28.8,7.3,24.8
1400000US26007000500,"Census Tract 5, Alpena County, Michigan",878,27.2,27.9,24.5,5,15.4
1400000US26007000600,"Census Tract 6, Alpena County, Michigan",1208,30,15.4,31.4,12.1,11.1
1400000US26007000700,"Census Tract 7, Alpena County, Michigan",1205,36,22.7,22.8,10.1,8.3
1400000US26007000800,"Census Tract 8, Alpena County, Michigan",1501,32.4,21,33,6.5,7
1400000US26007000900,"Census Tract 9, Alpena County, Michigan",1128,34.9,13.4,25.9,14.8,11
1400000US26007990000,"Census Tract 9900, Alpena County, Michigan",0,-,-,-,-,-
1400000US26009960100,"Census Tract 9601, Antrim County, Michigan",1145,25.2,21.7,22.3,18,12.8
1400000US26009960200,"Census Tract 9602, Antrim County, Michigan",1419,24.9,19.8,17.3,13.4,24.7
1400000US26009960300,"Census Tract 9603, Antrim County, Michigan",1063,24.5,23.3,22.5,9.6,20.1
1400000US26009960400,"Census Tract 9604, Antrim County, Michigan",1254,26.9,30,18.4,11.9,12.8
1400000US26009960500,"Census Tract 9605, Antrim County, Michigan",1329,31.8,18.7,20.9,14.2,14.4
1400000US26009960600,"Census Tract 9606, Antrim County, Michigan",1323,35.3,16.4,29.8,5.6,12.9
1400000US26009960700,"Census Tract 9607, Antrim County, Michigan",1929,15.9,31.6,21.4,13.4,17.7
1400000US26009990000,"Census Tract 9900, Antrim County, Michigan",0,-,-,-,-,-
1400000US26011970100,"Census Tract 9701, Arenac County, Michigan",814,32.1,22.7,18.1,9.8,17.3
1400000US26011970200,"Census Tract 9702, Arenac County, Michigan",1201,26.2,19.9,24.4,11.2,18.2
1400000US26011970300,"Census Tract 9703, Arenac County, Michigan",1157,27.1,17.5,24.8,13.1,17.4
1400000US26011970400,"Census Tract 9704, Arenac County, Michigan",859,28.2,23.3,22.7,9.7,16.2
1400000US26011970500,"Census Tract 9705, Arenac County, Michigan",1474,26.8,18.7,24.7,10.2,19.6
1400000US26011990000,"Census Tract 9900, Arenac County, Michigan",0,-,-,-,-,-
1400000US26011990100,"Census Tract 9901, Arenac County, Michigan",0,-,-,-,-,-
1400000US26013000100,"Census Tract 1, Baraga County, Michigan",1573,29.6,23.3,21.4,9.2,16.5
1400000US26013000200,"Census Tract 2, Baraga County, Michigan",920,29,24.6,19.7,8.6,18.2
1400000US26013990100,"Census Tract 9901, Baraga County, Michigan",0,-,-,-,-,-
1400000US26015010100,"Census Tract 101, Barry County, Michigan",2531,23.2,19.8,22,13.3,21.7
